"","borough","neighborhood","building_class_category","tax_class_at_present","block","lot","building_class_at_present","address","apartment_number","zip_code","residential_units","commercial_units","total_units","land_square_feet","gross_square_feet","year_built","tax_class_at_time_of_sale","building_class_at_time_of_sale","sale_price","sale_date","bbl","buildingIdentificationNumber","cooperativeIdNumber","gi5DigitStreetCode1","giHighHouseNumber1","giLowHouseNumber1","giStreetName1","lat","lng"
"265",2,"MOUNT HOPE/MOUNT EDEN","07  RENTALS - WALKUP APARTMENTS","2",2802,44,"C1","265 East 176 St",NA,10457,24,0,24,"4482",14000,1928,"2","C1",1310000,2011-01-14,2028020044,"2007568","0000","26940","265","265","EAST  176 STREET",40.8475548372151,-73.904253149576
"266",2,"MOUNT HOPE/MOUNT EDEN","07  RENTALS - WALKUP APARTMENTS","2",2810,20,"C1","234 East 178 Street",NA,10457,26,0,26,"10000",26000,1912,"2","C1",1560000,2011-08-31,2028100020,"2092051","0000","27000","234","234","EAST  178 STREET",40.8500604053331,-73.903833865051
"267",2,"MOUNT HOPE/MOUNT EDEN","07  RENTALS - WALKUP APARTMENTS","2",2810,45,"C1","231 Echo Place",NA,10457,44,0,44,"10633",35790,1927,"2","C1",1170000,2011-08-14,2028100045,"2007730","0000","29920","231","231","ECHO PLACE",40.8498631625174,-73.9042859726553
"268",2,"MOUNT HOPE/MOUNT EDEN","07  RENTALS - WALKUP APARTMENTS","2",2812,11,"C1","2000 Grand Concourse",NA,10457,15,0,15,"4108",18451,1913,"2","C1",1132500,2011-02-15,2028120011,"2007748","0000","27030","201","201","EAST  179 STREET",40.8511777698512,-73.9041575681729
"269",2,"MOUNT HOPE/MOUNT EDEN","07  RENTALS - WALKUP APARTMENTS","2",2889,8,"C7","1690 Clay Avenue",NA,10457,23,1,24,"4202",15254,1912,"2","C7",1580000,2011-06-28,2028890008,"2009328","0000","08920","1691","1691","ANTHONY AVENUE",40.8439787717355,-73.9046016513587
"270",2,"MOUNT HOPE/MOUNT EDEN","08  RENTALS - ELEVATOR APARTMENTS","2",2796,50,"D1","225 Cross Bronx Service",NA,10457,38,0,38,"6270",25800,1961,"2","D1",1088888,2011-08-14,2027960050,"2007433","0000","22240","225","225","CROSS BRONX EXPRESSWAY",40.8453482301568,-73.9077911444094
"271",2,"MOUNT HOPE/MOUNT EDEN","08  RENTALS - ELEVATOR APARTMENTS","2",2814,59,"D1","1996 Anthony Avenue",NA,10457,56,0,56,"12500",56400,1941,"2","D1",1400000,2011-03-25,2028140059,"2007778","0000","08920","1996","1996","ANTHONY AVENUE",40.8510639047675,-73.9025672885291
"272",2,"MOUNT HOPE/MOUNT EDEN","08  RENTALS - ELEVATOR APARTMENTS","2",2820,16,"D1","1546 Selwyn Ave",NA,10457,69,0,69,"16111",68886,1927,"2","D1",1250000,2011-12-28,2028200016,"2007824",NA,"63920","1546","1546","SELWYN AVENUE",40.8417326267693,-73.9102284705146
"273",2,"MOUNT HOPE/MOUNT EDEN","27  FACTORIES","4",2889,40,"F9","1694 Anthony Avenue",NA,10457,0,1,1,"3287",4378,2005,"4","F9",310000,2011-05-11,2028890040,"2000000","0000","08920","1694","1694","ANTHONY AVENUE",40.8440194776381,-73.9040413823756
"274",2,"MOUNT HOPE/MOUNT EDEN","27  FACTORIES","4",2889,40,"F9","1694 Anthony Avenue",NA,10457,0,1,1,"3287",4378,2005,"4","F9",316200,2011-01-24,2028890040,"2000000","0000","08920","1694","1694","ANTHONY AVENUE",40.8440194776381,-73.9040413823756
"275",2,"BATHGATE","01  ONE FAMILY HOMES","1",3046,42,"A1","2069 Bathgate Ave",NA,10457,1,0,1,"1964",1424,1899,"1","A1",345376,2012-04-05,2030460042,"2011489","0000","11420","2069","2069","BATHGATE AVENUE",40.8505498452832,-73.8953857974042
"276",2,"BATHGATE","02  TWO FAMILY HOMES","1",2912,158,"B1","505 East 171st Street",NA,10457,2,0,2,"2000",2400,1993,"1","B1",316500,2012-12-27,2029120158,"2099475",NA,"26790","505","505","EAST  171 STREET",40.8376258285711,-73.9025869689039
